model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
2,Acanthus mollis,Lamiales,Acanthaceae,ballistic,NA,0.14166859298304366,0.08317616115784722,0.14166859298304366,NA,herb,1.2,"Usually found near old settlements, in partial shade and along riverbanks.",riparian,capsule,dry,explosive capsule,0.208,ballistic,NA,ballistic,water,internal,NA,NA,NA,Esler 1988; NZPCN,"Propulsion of seed is achieved by the sudden release of the stout funiculus (retinaculum), which is held under tension in the ripening capsule (Esler 1988). Has no structures directly aiding active dispersal and large seeds >10 mg (Elser 1988). Dispersed by gravity, water and birds (NZPCN website, accessed 13 April 2023).",NA,attachment or internal,NA,2022-06-02T00:00:00Z,45030,2023-04-13T00:00:00Z,3,1,2
2,Acanthus mollis,Lamiales,Acanthaceae,animal,NA,1.7440992780040971,1.5114067011177712,1.7440992780040971,NA,herb,1.2,"Usually found near old settlements, in partial shade and along riverbanks.",riparian,capsule,dry,explosive capsule,0.208,ballistic,NA,ballistic,water,internal,NA,NA,NA,Esler 1988; NZPCN,"Propulsion of seed is achieved by the sudden release of the stout funiculus (retinaculum), which is held under tension in the ripening capsule (Esler 1988). Has no structures directly aiding active dispersal and large seeds >10 mg (Elser 1988). Dispersed by gravity, water and birds (NZPCN website, accessed 13 April 2023).",NA,attachment or internal,NA,2022-06-02T00:00:00Z,45030,2023-04-13T00:00:00Z,3,1,2
2,Schinus terebinthifolia,Sapindales,Anacardiaceae,animal,NA,3.0393729412100248,2.6954389393671776,3.0393729412100248,NA,shrub,3,"NZPCN: currently in waste areas, but a problem weed of wetland and water body margins overseas",NA,drupe,fleshy,fleshy,0.01814,internal,NA,internal,ant,NA,NA,NA,NA,Higgins et al. 2006; Leal et al. 2007; NZPCN,Bird and mammal dispersed seed (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).,"seeds dispersed by ants (direct observation) (Leal, I.R., Wirth, R., & Tabarelli, M. 2007. Seed Dispersal by Ants in the Semi-arid Caatinga of North-east Brazil. Annals of Botany, 99:885-894). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-16T00:00:00Z,22/6/203,2023-06-22T00:00:00Z,2,1,1
2,Schinus terebinthifolia,Sapindales,Anacardiaceae,ant,NA,1.9454536217311056,1.982266471201525,1.9454536217311056,NA,shrub,3,"NZPCN: currently in waste areas, but a problem weed of wetland and water body margins overseas",NA,drupe,fleshy,fleshy,0.01814,internal,NA,internal,ant,NA,NA,NA,NA,Higgins et al. 2006; Leal et al. 2007; NZPCN,Bird and mammal dispersed seed (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).,"seeds dispersed by ants (direct observation) (Leal, I.R., Wirth, R., & Tabarelli, M. 2007. Seed Dispersal by Ants in the Semi-arid Caatinga of North-east Brazil. Annals of Botany, 99:885-894). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-16T00:00:00Z,22/6/203,2023-06-22T00:00:00Z,2,1,1
2,Toxicodendron succedaneum,Sapindales,Anacardiaceae,animal,NA,2.9890505724555076,2.7948042922336356,2.9890505724555076,NA,tree,5,"Heenan et al. 2008: Coastal indigenous vegetation, urban gardens, and wasteland",NA,drupe,fleshy,fleshy,0.06308,internal,NA,internal,NA,NA,NA,NA,NA,Heenan et al. 2008,"bird-dispersed, seedling collected under large starling roost on Middle Island (Heenan et al. 2008)","T. diversilobum: Animal; Method not stated; (Keeley, 1991, cited in Kew SID)",NA,NA,2022-06-09T00:00:00Z,NA,2022-06-22T00:00:00Z,1,1,0
2,Angelica pachycarpa,Apiales,Apiaceae,wind.special,0.3669842919411853,0.6404172820860101,0.7496356374038299,0.3669842919411853,NA,herb,0.6,"NZ Flora Online: cliff, coast, dry, grassland, gravel, moist, open, pasture, roadside, rock outcrop, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland; NZPCN: Mainly coastal, waste places",NA,schizocarp,dry,"flattened fruit with lighter, spongy lateral wings",0.00817,unspecialised,NA,water,wind,NA,NA,NA,NA,NZPCN,"dispersed by humans, wind, water (NZPCN)",Angelica sylvestris dispersed by water (Ecological Flora of the British Isles),dispersal based on morphology,NA,2022-06-02T00:00:00Z,45033,2023-04-17T00:00:00Z,2,1,1
2,Helosciadium nodiflorum,Apiales,Apiaceae,animal,1.857579194279542,2.131012184424367,2.2143608367252985,1.857579194279542,NA,herb,1,"NZPCN: Shallow water ponds, drains, and the margins of slow moving streams",riparian,NA,dry,none,8.6e-4,unspecialised,NA,internal,NA,NA,NA,NA,NA,Zidon et al. 2016,NA,"seed germinated from Persian fallow deer faeces (Zidon et al. 2016, as Apium nodiflorum)",dispersal based on morphology,NA,NA,45198,2023-09-29T00:00:00Z,1,1,0
2,Ilex aquifolium,Aquifoliales,Aquifoliaceae,animal,NA,NA,3.117893325377154,3.117893325377154,shrub-tree,tree,12,"NZ Flora Online: bank, coast, dry, flat , forest, forest edge, hill, log, lowland, margin, open, roadside, sand, shaded, sheltered, stone, terrace",NA,drupe,fleshy,fleshy,0.03227,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Williams & Karl 1996,NA,England: fruits eaten primarily  by blackbird & also song thrush; Spain: fruits eaten by blackbird (Snow & Snow 1988),NA,NA,2022-06-08T00:00:00Z,NA,2023-06-19T00:00:00Z,1,1,0
2,Alocasia brisbanensis,Alismatales,Araceae,animal,NA,2.2747947266611828,2.168914026606915,2.2747947266611828,NA,herb,3,"NZ Flora Online: bank, dry, hill, lowland, margin, moist, open, pasture, riparian, roadside, sand, shrubland, slope, stone, terrace. NZPCN: Wetlands, streamsides, river systems, heavily disturbed shrubland and forest, damp frost-free open areas, regenerating ex-pasture.",riparian,berry,fleshy,fleshy,0.01,internal,NA,internal,NA,NA,NA,NA,NA,West 1996,Widespread distribution throughout Raoul Island and onto the Meyer Islets has probably resulted from birds dispersing the seeds (West 1996). Bird-dispersed (West 1996),NA,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
2,Arum italicum,Alismatales,Araceae,animal,NA,1.8507039605823072,1.557331385944785,1.8507039605823072,NA,herb,0.6,"NZ Flora Online: bank, cliff, forest, hill, lowland, moist, open, pasture, roadside, rock outcrop, sand, shrubland, silt, terrace, wasteland. NZPCN: Heavily disturbed shrubland and forest, herbfield, damp areas with low cover, regenerating ex-pasture",NA,berry,fleshy,fleshy,0.039,internal,NA,internal,NA,NA,NA,NA,NA,Thompson 1976; Webb et al. 1988; Esler 1988,"""Observations in New Zealand suggest that domestic poultry & wild birds may be agents of dispersal"" (Webb et al. 1988). probably bird-dispersed but this has not been confirmed by direct observation (Esler 1988).",NA,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
